,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,Monrovia,6.3005,-10.7969,79.2,81,7,4.81,LR,1639971304
322,Gympie,-26.1898,152.665,88.3,34,98,4.85,AU,1639971520
323,Saku,36.2167,138.4833,46.49,56,13,4.7,JP,1639971520
324,Santa Cruz del Sur,20.7147,-77.9956,73.9,85,0,8.52,CU,1639971269
325,Oildale,35.4197,-119.0195,57.56,86,1,0.0,US,1639971313
326,Pakxan,18.3778,103.6601,76.86,37,30,1.83,LA,1639971582
327,Glendive,47.1053,-104.7125,14.63,81,90,18.41,US,1639971582
328,Heihe,50.2441,127.4902,2.89,95,100,4.88,CN,1639971582
329,Mount Isa,-20.7333,139.5,96.57,26,1,8.05,AU,1639971582
330,Bayir,37.2687,28.2167,36.12,97,89,4.74,TR,1639971583
331,Petaling Jaya,3.1073,101.6067,88.14,70,20,2.3,MY,1639971583
332,Sept-Îles,50.2001,-66.3821,11.05,72,20,5.99,CA,1639971583
333,Buchanan,5.8808,-10.0467,78.62,85,12,5.3,LR,1639971584
334,La Ronge,55.1001,-105.2842,-12.75,70,75,9.22,CA,1639971584
335,Dębica,50.0515,21.4114,35.37,88,92,16.2,PL,1639971584
336,Tiksi,71.6872,128.8694,-16.78,100,100,2.44,RU,1639971585
337,Lebu,-37.6167,-73.65,56.62,94,27,15.35,CL,1639971585
338,Gīdolē,5.65,37.3667,55.94,83,89,3.29,ET,1639971585
339,Northam,51.0333,-4.2167,42.3,87,77,16.78,GB,1639971585
340,Loa Janan,-0.583,117.095,86.76,62,100,4.76,ID,1639971586
341,Makkah al Mukarramah,21.4267,39.8261,68.56,72,67,2.26,SA,1639971586
342,Zelenoborskiy,66.845,32.3622,6.84,94,95,7.11,RU,1639971586
343,Namatanai,-3.6667,152.4333,81.54,78,90,3.42,PG,1639971586
344,Bowen,-20.0167,148.2333,89.82,63,30,16.62,AU,1639971363
345,Sur,22.5667,59.5289,71.04,59,19,1.48,OM,1639971587
346,Tuy Hoa,13.0833,109.3,78.3,72,100,1.72,VN,1639971576
347,Te Anau,-45.4167,167.7167,56.43,89,100,11.65,NZ,1639971587
348,Bjørnevatn,69.6672,29.9847,25.14,93,90,14.97,NO,1639971588
349,Pouébo,-20.4,164.5667,81.46,75,64,3.38,NC,1639971588
